Epoch	Batch	Perplexity
4	136	106.6795
4	137	113.6246
4	138	106.1174
4	139	123.2109
4	140	131.6790
4	141	111.6253
4	142	121.5053
4	143	131.5856
4	144	120.7048
4	145	118.9043
4	146	120.5955
End of Epoch 4 - Average Train Perplexity: 126.7431
5	1	115.5522
5	2	117.8794
5	3	113.2528
5	4	126.2059
5	5	101.9187
5	6	127.5586
5	7	112.3678
5	8	113.1423
5	9	112.2219
5	10	109.6951
5	11	110.8091
5	12	127.2017
5	13	117.4451
5	14	128.3915
5	15	107.7528
5	16	121.6156
5	17	94.7808
5	18	116.5905
5	19	116.3653
5	20	111.7474
5	21	128.6290
5	22	121.7986
5	23	112.3470
5	24	132.7221
5	25	102.9000
5	26	109.7426
5	27	117.4843
5	28	112.8585
5	29	119.6861
5	30	103.3188
5	31	124.4231
5	32	111.8067
5	33	113.9487
5	34	120.6967
5	35	121.2703
5	36	101.2529
5	37	114.9360
5	38	101.0015
5	39	128.2549
5	40	111.1214
5	41	106.0356
5	42	105.6238
5	43	98.1638
5	44	106.4948
5	45	103.4862
5	46	106.1845
5	47	130.7564
5	48	127.0348
5	49	134.2996
5	50	112.4115
5	51	110.0716
5	52	115.5153
5	53	125.4039
5	54	106.4793
5	55	99.2031
5	56	94.9831
5	57	106.9597
5	58	103.4966
5	59	100.0483
5	60	117.9016
5	61	119.1068
5	62	118.8961
5	63	105.8764
5	64	96.6295
5	65	99.8567
5	66	105.9620
5	67	111.9609
5	68	108.8094
5	69	107.0082
5	70	125.2983
5	71	104.8814
5	72	120.9516
5	73	104.0974
5	74	124.9485
5	75	133.0944
5	76	129.8867
5	77	92.7611
5	78	102.0412
5	79	107.2010
5	80	118.5188
5	81	110.7192
5	82	114.9832
5	83	124.6099
5	84	111.0451
5	85	102.3139
5	86	104.2781
5	87	111.7463
5	88	119.0301
5	89	104.5577
5	90	96.1027
5	91	108.4218
5	92	106.3406
5	93	115.3271
5	94	100.4068
5	95	100.6431
5	96	103.0434
5	97	119.7064
5	98	98.4887
5	99	117.9065
5	100	118.9808
5	101	117.4180
5	102	103.9985
5	103	132.5089
5	104	109.1432
5	105	105.0278
5	106	118.7061
5	107	106.5829
5	108	103.9169
5	109	103.5451
5	110	89.8323
5	111	119.0567
5	112	102.8762
5	113	117.9650
5	114	107.2342
5	115	114.6524
5	116	112.5294
5	117	96.9350
5	118	111.4768
5	119	122.9036
5	120	110.6949
5	121	113.6951
5	122	108.0447
5	123	109.8668
5	124	101.0428
5	125	114.4679
5	126	121.3217
5	127	100.5513
5	128	106.0248
5	129	110.9982
5	130	114.7342
5	131	109.1720
5	132	116.3153
5	133	100.2516
5	134	94.6908
5	135	104.5481
5	136	116.7782
5	137	95.5366
5	138	110.5554
5	139	99.5054
5	140	108.4302
5	141	100.4063
5	142	106.5689
5	143	108.2535
5	144	103.1964
5	145	99.9693
5	146	100.9021
End of Epoch 5 - Average Train Perplexity: 110.7743
